,baseMean,log2FoldChange,lfcSE,pvalue,padj
FBgn0001227,16.85171877,-0.012955967,0.074091955,0.466024105,0.769170908
FBgn0001228,2.253196313,-0.000727033,0.0744363,0.916541308,NA
FBgn0001229,8.219374952,0.021222631,0.078255461,0.084674427,0.380258588
FBgn0001230,148.3796483,0.408595261,0.171367376,0.0006674,0.020660302
FBgn0001233,57590.76913,0.030996711,0.054461384,0.424571034,0.741929552
FBgn0001234,1286.439416,0.271148916,0.141560262,0.002435129,0.049582575
FBgn0001235,637.8118722,0.047126868,0.073688068,0.226197286,0.578959528
FBgn0001247,1998.984071,-0.019324834,0.044325713,0.578837002,0.827165223
FBgn0001248,10015.97057,0.046462072,0.053063913,0.275586467,0.627669665
FBgn0001250,1037.639462,0.097214375,0.132370755,0.044000163,0.286552702
FBgn0001253,2.350015188,0.003636759,0.07454255,0.618414185,NA
FBgn0001254,0.120075318,-0.000103891,0.074767505,1,NA
FBgn0001255,15.12617442,-0.011818963,0.074374941,0.452162943,0.75958594
FBgn0001256,4.194891347,0.011655319,0.075554596,0.20423716,NA
FBgn0001257,1856.497814,0.0306723,0.072812955,0.34209772,0.685159246
FBgn0001258,510.9186982,0.003369498,0.071243121,0.882433784,0.961859845
FBgn0001259,10.31749883,-0.005788759,0.07361158,0.687869172,0.879307205
FBgn0001263,464.357151,0.014815936,0.071792901,0.555188613,0.817509066
FBgn0001269,9.191879119,-0.000671885,0.07374737,0.955490386,0.98741893
FBgn0001276,260.6976166,-0.070666259,0.094281651,0.099685334,0.405330115
FBgn0001280,775.8611903,-0.01165534,0.055416486,0.747160372,0.904960349
FBgn0001281,0.519501727,0.001483696,0.074754024,0.540253209,NA
FBgn0001285,164.8523559,0.020623709,0.077474042,0.162423491,0.506390919
FBgn0001291,1396.285196,0.090444484,0.056410429,0.035525566,0.258895082
FBgn0001296,715.2401397,-0.055750376,0.097871145,0.067509527,0.350174845
FBgn0001297,1932.268709,0.045962818,0.08466223,0.155876562,0.495992257
FBgn0001301,1871.993458,0.034610695,0.055233035,0.385260469,0.714947439
FBgn0001308,5322.5507,-0.05111405,0.047011732,0.174521627,0.521269448
FBgn0001311,20.3126475,0.01252271,0.074293892,0.453941281,0.760783868
FBgn0001316,7104.551833,-0.060573311,0.064940104,0.151349301,0.488792353
FBgn0001319,30.03771721,0.007534758,0.074858911,0.371869863,0.70601572
FBgn0001320,48.63607161,0.440066959,0.287556407,0.003290178,0.060097947
FBgn0001321,44.23836337,0.359353315,0.317537547,0.005628436,0.086641024
FBgn0001323,73.33057644,0.049356971,0.090020542,0.106977719,0.418671711
FBgn0001324,1588.160388,-0.006854889,0.051077713,0.850572203,0.95083157
FBgn0001325,4.015916573,-0.007171627,0.074735821,0.421186666,NA
FBgn0001330,988.3674954,-0.026642965,0.057087801,0.492355966,0.784073378
FBgn0001341,1068.162637,0.006626233,0.056652136,0.860199599,0.954058099
FBgn0001404,3572.538895,0.046259995,0.050895518,0.233268737,0.586733086
FBgn0001491,624.6435611,-0.01854856,0.061987314,0.61780143,0.846822941
